"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet","DIGIKEY_PART_NUMBER","MANUFACTURER","MANUFACTURER_PART_NUMBER","Description"
"R128","1","2.4k","","","","402","https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf","P2.20KLTR-ND","","ERJ-2RKF2201X","RES SMD 2.2K OHM 1% 1/10W 0402"
"R129","1","12.1k","","","","0603","https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1773270-2&DocType=Data%20Sheet&DocLang=English&DocFormat=pdf&PartCntxt=9-2176390-1","A140146CT-ND","TE Connectivity Passive Product","RQ73C1J12K1BTD","RES 12.1 KOHMS 0.1% 0.15W 0603"
"R130","1","3.83k","","","","0603","https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1773270-2&DocType=Data%20Sheet&DocLang=English&DocFormat=pdf&PartCntxt=9-2176390-1","A140873CT-ND","TE Connectivity Passive Product","RQ73C1J3K83BTD","RES 3.83 KOHMS 0.1% 0.15W 0603"
"R131","1","10k","","","","402","https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf","P2.20KLTR-ND","","ERJ-2RKF2201X","RES SMD 2.2K OHM 1% 1/10W 0402"
"R132","1","200k","","","","402","https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf","P200KLTR-ND","","ERJ-2RKF2003X","RES SMD 200K OHM 1% 1/10W 0402"
"R133","1","100k","","","","402","https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf","P100KLTR-ND","","ERJ-2RKF1003X","RES SMD 100K OHM 1% 1/10W 0402"
"R134","1","4.12k","","","","402","https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf","P2.05KLTR-ND","","ERJ-2RKF2051X","RES SMD 2.05K OHM 1% 1/10W 0402"
"R135","1","10k","","","","","","","","","Resistor"
"R136","1","10.5k","","","","","","","","","Resistor"
"R137","1","10k","","","","","","","","","Resistor"
"R138","1","120k","","","","","","","","","Resistor"
"R139","1","10k","","","","","","","","","Resistor"
"R140","1","2.21k","","","","402","https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf","P2.21KLTR-ND","","ERJ-2RKF2211X","RES SMD 2.21K OHM 1% 1/10W 0402"
"R141","1","1M","","","","","","","","","Resistor"
"R142","1","47k","","","","","","","","","Resistor"
"R143","1","10k","","","","402","https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf","P2.05KLTR-ND","","ERJ-2RKF2051X","RES SMD 2.05K OHM 1% 1/10W 0402"
"R144","1","10.7k","","","","402","https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf","P24.9KLTR-ND","","ERJ-2RKF2492X","RES SMD 24.9K OHM 1% 1/10W 0402"
"R145","1","10k","","","","","","","","","Resistor"
"R146","1","100k","","","","","","","","","Resistor"
"R147","1","20k","","","","402","https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf","P15.0KLTR-ND","","ERJ-2RKF1502X","RES SMD 15K OHM 1% 1/10W 0402"
"R148","1","576","","","","402","https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf","P2.05KLTR-ND","","ERJ-2RKF2051X","RES SMD 2.05K OHM 1% 1/10W 0402"
"R149","1","10k","","","","402","https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf","P200KLTR-ND","","ERJ-2RKF2003X","RES SMD 200K OHM 1% 1/10W 0402"
"R150","1","10k","","","","","","","","","Resistor"
"R151","1","4.7k","","","","","","","","","Resistor"
"R152","1","100k","","","","","","","","","Resistor"
"R153","1","18k","","","","","","","","","Resistor"
"R154","1","33k","","","","","","","","","Resistor"
"R155","1","10k","","","","","","","","","Resistor"
"R156","1","4.7k","","","","402","https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf","P200KLTR-ND","","ERJ-2RKF2003X","RES SMD 200K OHM 1% 1/10W 0402"
"R157","1","10k","","","","","","","","","Resistor"
"R158","1","10k","","","","","","","","","Resistor"
"R159","1","20m","","","","0805","https://www.ohmite.com/assets/images/res-kdv.pdf","273-KDV08DR150ETCT-ND","Ohmite","KDV08DR150ET","RES 0.15 OHM 0.5% 1/4W 0805"
"R160","1","10k","","","","","","","","","Resistor"
"R161","1","10k","","","","","","","","","Resistor"
"R162","1","2.2","","","","402","https://industrial.panasonic.com/cdbs/www-data/pdf/RDP0000/AOA0000C334.pdf","10-ERJ-U02F2R20XTR-ND","","ERJ-U02F2R20X","RES 2.2 OHM 1% 1/10W 0402"
"R163","1","2.2","","","","402","https://industrial.panasonic.com/cdbs/www-data/pdf/RDP0000/AOA0000C334.pdf","10-ERJ-U02F2R20XTR-ND","","ERJ-U02F2R20X","RES 2.2 OHM 1% 1/10W 0402"
"R164","1","100k","","","","","","","","","Resistor"
"R165","1","51","","","","402","https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf","P51.0LTR-ND","","ERJ-2RKF51R0X","RES SMD 51 OHM 1% 1/10W 0402"
"R166","1","51","","","","402","https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf","P51.0LTR-ND","","ERJ-2RKF51R0X","RES SMD 51 OHM 1% 1/10W 0402"
"R167","1","220","","","","","","","","","Resistor"
"R168","1","10k","","","","","","","","","Resistor"
"R169","1","10k","","","","","","","","","Resistor"
"R170","1","470","","","","","","","","","Resistor"
"R171","1","4.7k","","","","","","","","","Resistor"
"R172","1","470","","","","","","","","","Resistor"
"R173","1","22k","","","","","","","","","Resistor"
"R174","1","47k","","","","","","","","","Resistor"
"R175","1","47k","","","","","","","","","Resistor"
"R176","1","100k","","","","","","","","","Resistor"
"R177","1","49.9","","","","","","","","","Resistor"
"R178","1","100","","","","","","","","","Resistor"
"R179","1","10k","","","","","","","","","Resistor"
"R180","1","10k","","","","","","","","","Resistor"
"R181","1","1k","","","","","","","","","Resistor"
"R182","1","100k","","","","","","","","","Resistor"
"R183","1","33","","","","","","","","","Resistor"
"R184","1","33","","","","","","","","","Resistor"
"R185","1","1.5k","","","","","","","","","Resistor"
"R186","1","30.1k","","","","","","","","","Resistor"
"R187","1","22","","","","","","","","","Resistor"
"R188","1","100k","","","","","","","","","Resistor"
"R189","1","22","","","","","","","","","Resistor"
"R190","1","10k","","","","","","","","","Resistor"
"R191","1","10k","","","","","","","","","Resistor"
"R192","1","10k","","","","","","","","","Resistor"
"R193","1","10k","","","","","","","","","Resistor"
"R194","1","10k","","","","","","","","","Resistor"
"R195","1","10k","","","","","","","","","Resistor"
"R196","1","10k","","","","","","","","","Resistor"
"R197","1","10k","","","","","","","","","Resistor"
"R198","1","10k","","","","","","","","","Resistor"
"R199","1","10k","","","","","","","","","Resistor"
"R200","1","10k","","","","","","","","","Resistor"
"R201","1","10k","","","","","","","","","Resistor"
"R202","1","4.7k","","","","","","","","","Resistor"
"R203","1","4.7k","","","","","","","","","Resistor"
"R204","1","10k","","","","","","","","","Resistor"
"R205","1","10k","","","","","","","","","Resistor"
"R206","1","10k","","","","","","","","","Resistor"
"R207","1","10k","","","","","","","","","Resistor"
"R208","1","10k","","","","","","","","","Resistor"
"R209","1","10k","","","","","","","","","Resistor"
"R210","1","22","","","","0805","https://www.ohmite.com/assets/images/res-kdv.pdf","273-KDV08DR150ETCT-ND","Ohmite","KDV08DR150ET","RES 0.15 OHM 0.5% 1/4W 0805"
"R211","1","22","","","","0805","https://www.ohmite.com/assets/images/res-kdv.pdf","273-KDV08DR150ETCT-ND","Ohmite","KDV08DR150ET","RES 0.15 OHM 0.5% 1/4W 0805"
"R212","1","10k","","","","","","","","","Resistor"
"R213","1","100k","","","","","","","","","Resistor"
"TP1","1","TestPoint","","","","","","","","","test point"
"U1","1","TPD4EUSB30","","","","10-USON","https://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=https%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Ftpd4eusb30","296-28063-2-ND","Texas Instruments","TPD4EUSB30DQAR","TVS DIODE 5.5VWM 8VC 10USON"
"U2","1","LMV393","","","","","http://www.ti.com/lit/ds/symlink/lmv331.pdf","","","","Dual General-Purpose Low-Voltage Comparator, SOIC-8/TSSOP-8/VSSOP-8"
"U3","1","BC846BPDW1T1G","","","","SOT-363","https://www.onsemi.com/pdf/datasheet/bc846bpdw1t1-d.pdf","BC846BPDW1T1GOSTR-ND","ON Semiconductor","BC846BPDW1T1G","TRANS NPN/PNP 65V 0.1A SC88/SC70"
"U4","1","BC846BPDW1T1G","","","","SOT-363","https://www.onsemi.com/pdf/datasheet/bc846bpdw1t1-d.pdf","BC846BPDW1T1GOSTR-ND","ON Semiconductor","BC846BPDW1T1G","TRANS NPN/PNP 65V 0.1A SC88/SC70"
"U5","1","BC846BPDW1T1G","","","","SOT-363","https://www.onsemi.com/pdf/datasheet/bc846bpdw1t1-d.pdf","BC846BPDW1T1GOSTR-ND","ON Semiconductor","BC846BPDW1T1G","TRANS NPN/PNP 65V 0.1A SC88/SC70"
"U6","1","BC846BPDW1T1G","","","","SOT-363","https://www.onsemi.com/pdf/datasheet/bc846bpdw1t1-d.pdf","BC846BPDW1T1GOSTR-ND","ON Semiconductor","BC846BPDW1T1G","TRANS NPN/PNP 65V 0.1A SC88/SC70"
"U7","1","FDMQ8205A","","","","12-MLP","https://www.onsemi.com/pdf/datasheet/fdmq8205a-d.pdf","FDMQ8205AOSTR-ND","On Semiconductor","FDMQ8205A","GREENBRIDGETM 2 SERIES OF HIGH-E"
"U8","1","FDMQ8205A","","","","12-MLP","https://www.onsemi.com/pdf/datasheet/fdmq8205a-d.pdf","FDMQ8205AOSTR-ND","On Semiconductor","FDMQ8205A","GREENBRIDGETM 2 SERIES OF HIGH-E"
"U9","1","NCP1095DBR2","","","","16-TSSOP","https://www.onsemi.com/pdf/datasheet/ncp1095-d.pdf","NCP1095DBR2OSTR-ND","","NCP1095DBR2","IC POE CNTRL 1 CHANNEL 16TSSOP"
"U10","1","INA228AQDGSRQ1","","","","VSSOP10_DGS_TEX","https://www.ti.com/lit/gpn/ina228-q1","","","",""
"U11","1","LAN8742AI-CZ-TR","","","","LAN8742AI-CZ-TR:QFN50P400X400X100-25N","","","Microchip","",""
"U12","1","STM32H563VIT6","","","","100-LQFP","https://www.st.com/resource/en/datasheet/stm32h562ag.pdf","497-STM32H563VIT6-ND","STMicroelectronics","STM32H563VIT6","IC MCU 32BIT 2MB FLASH 100LQFP"
"U13","1","LT3045xDD","","","","Package_DFN_QFN:DFN-10-1EP_3x3mm_P0.5mm_EP1.65x2.38mm","https://www.analog.com/media/en/technical-documentation/data-sheets/3045fa.pdf","","","","500mA, Adjustable, Ultralow Noise, Ultrahigh PSRR Linear Regulator, DFN-10"
"U14","1","MCP1502T-33E/CHY","","","","SOT-23-6","https://ww1.microchip.com/downloads/aemDocuments/documents/MSLD/ProductDocuments/DataSheets/MCP1502-Data-Sheet-20006593B.pdf","","","","IC VREF SERIES 3.3V SOT23-6"
"U15","1","TPD4E02B04DQAR","","","","DQA0010A","https://www.ti.com/lit/gpn/tpd4e02b04","","","",""
"U16","1","TPD4E02B04DQAR","","","","DQA0010A","https://www.ti.com/lit/gpn/tpd4e02b04","","","",""
"U17","1","TPD4E05U06DQAR","","","","DQA0010A","https://www.ti.com/lit/gpn/tpd4e05u06","","","",""
"U18","1","TPD4E05U06DQAR","","","","DQA0010A","https://www.ti.com/lit/gpn/tpd4e05u06","","","",""
"U19","1","TPD4E02B04DQAR","","","","DQA0010A","https://www.ti.com/lit/gpn/tpd4e02b04","","","",""
"U20","1","TPD4E02B04DQAR","","","","DQA0010A","https://www.ti.com/lit/gpn/tpd4e02b04","","","",""
"U21","1","ZED-F9T-00B","","","","ZED-F9T-00B:MODULE_ZED-F9T-00B","","","U-Blox","",""
"U22","1","LT3045xDD","","","","Package_DFN_QFN:DFN-10-1EP_3x3mm_P0.5mm_EP1.65x2.38mm","https://www.analog.com/media/en/technical-documentation/data-sheets/3045fa.pdf","","","","500mA, Adjustable, Ultralow Noise, Ultrahigh PSRR Linear Regulator, DFN-10"
"U23","1","INA228AQDGSRQ1","","","","VSSOP10_DGS_TEX","https://www.ti.com/lit/gpn/ina228-q1","","","",""
"U24","1","INA181A1IDBVR","","","","DBV0006A_N","https://www.ti.com/lit/gpn/ina181","","","",""
"U25","1","LMV393","","","","","http://www.ti.com/lit/ds/symlink/lmv331.pdf","","","","Dual General-Purpose Low-Voltage Comparator, SOIC-8/TSSOP-8/VSSOP-8"
"U26","1","INA228AQDGSRQ1","","","","VSSOP10_DGS_TEX","https://www.ti.com/lit/gpn/ina228-q1","","","",""
"U27","1","RT9742VGJ5","","","","TSOT-23-5","https://www.richtek.com/SaveDownload.aspx?specid=RT9742","1028-RT9742VGJ5TR-ND","","RT9742VGJ5","70M/55M POWER SWITCH TSOT-25"
"U28","1","MIC28516T-E/PHA","","","","32-PowerVQFN","https://ww1.microchip.com/downloads/aemDocuments/documents/APID/ProductDocuments/DataSheets/MIC28516-Data-Sheet-DS20006315.pdf","150-MIC28516T-E/PHATR-ND","","MIC28516T-E/PHA","IC REG BUCK ADJ 8A 32VQFN"
"U29","1","AP3441SHE-7B","","","","8-UFDFN (Exposed Pad)","https://www.diodes.com/assets/Datasheets/AP3441-L.pdf","AP3441SHE-7BDITR-ND","","AP3441SHE-7B","IC REG BUCK ADJ 3A UDFN20208"
"U30","1","INA228AQDGSRQ1","","","","VSSOP10_DGS_TEX","https://www.ti.com/lit/gpn/ina228-q1","","","",""
"U31","1","INA228AQDGSRQ1","","","","VSSOP10_DGS_TEX","https://www.ti.com/lit/gpn/ina228-q1","","","",""
"U32","1","INA228AQDGSRQ1","","","","VSSOP10_DGS_TEX","https://www.ti.com/lit/gpn/ina228-q1","","","",""
"U33","1","RT9742VGJ5","","","","TSOT-23-5","https://www.richtek.com/SaveDownload.aspx?specid=RT9742","1028-RT9742VGJ5TR-ND","","RT9742VGJ5","70M/55M POWER SWITCH TSOT-25"
"U34","1","TPS61094DSSR","","","","TPS61094DSSR:SON50P300X200X80-13N","","","Texas Instruments","",""
"U35","1","TPS61094DSSR","","","","TPS61094DSSR:SON50P300X200X80-13N","","","Texas Instruments","",""
"U36","1","OPA320AIDBVT","","","","OPA320AIDBVT:SOT95P280X145-5N","","","","",""
"U37","1","INA228AQDGSRQ1","","","","VSSOP10_DGS_TEX","https://www.ti.com/lit/gpn/ina228-q1","","","",""
"U38","1","AP3441SHE-7B","","","","8-UFDFN (Exposed Pad)","https://www.diodes.com/assets/Datasheets/AP3441-L.pdf","AP3441SHE-7BDITR-ND","","AP3441SHE-7B","IC REG BUCK ADJ 3A UDFN20208"
"U39","1","TPS7A5201QRGRRQ1","","","","RGR20_2P05X2P05_TEX","https://www.ti.com/lit/gpn/tps7a52-q1","","","",""
"U40","1","MIC28516T-E/PHA","","","","32-PowerVQFN","https://ww1.microchip.com/downloads/aemDocuments/documents/APID/ProductDocuments/DataSheets/MIC28516-Data-Sheet-DS20006315.pdf","150-MIC28516T-E/PHATR-ND","","MIC28516T-E/PHA","IC REG BUCK ADJ 8A 32VQFN"
"U41","1","LMV393","","","","","http://www.ti.com/lit/ds/symlink/lmv331.pdf","","","","Dual General-Purpose Low-Voltage Comparator, SOIC-8/TSSOP-8/VSSOP-8"
"U42","1","OPA320AIDBVT","","","","OPA320AIDBVT:SOT95P280X145-5N","","","","",""
"U43","1","MCP41U83T-503E/ST","","","","Package_SO:TSSOP-14_4.4x5mm_P0.65mm","https://ww1.microchip.com/downloads/aemDocuments/documents/APID/ProductDocuments/DataSheets/MCP41U83-Data-Sheet-DS20007000.pdf","","","","10-bit single-channel digital potentiometer, I2C / SPI interface, MTP memory, TSSOP-14"
"U44","1","INA228AQDGSRQ1","","","","VSSOP10_DGS_TEX","https://www.ti.com/lit/gpn/ina228-q1","","","",""
"U45","1","MCP1502T-40E/CHY","","","","SOT-23-6","https://ww1.microchip.com/downloads/aemDocuments/documents/MSLD/ProductDocuments/DataSheets/MCP1502-Data-Sheet-20006593B.pdf","","","","IC VREF SERIES 3.3V SOT23-6"
"U46","1","SN65C3221EPWR","","","","SN65C3221EPWR:SOP65P640X120-16N","","","","",""
"U47","1","PESD15VL2BT","","","","TO-236AB","https://assets.nexperia.com/documents/data-sheet/PESD15VL2BT.pdf","1727-3813-2-ND","","PESD15VL2BT,215","TVS DIODE 15VWM 44VC TO236AB"
"U48","1","APC-817C1","","","","4-SMD","https://www.americanbrightled.com/pdffiles/ir-uv/ir/APC-817.pdf","2007-APC-817C1-SLCT-ND","American Bright Optoelectronics Corporation","APC-817C1-SL","OPTOISOLATOR 5KV 1CH TRANS 4-SMD"
"U49","1","TMUX1101DCK","","","","Package_TO_SOT_SMD:SOT-353_SC-70-5","https://www.ti.com/lit/ds/symlink/tmux1101.pdf","","","","SPST Analog Switch, 1.08V to 5.5V Supply, 3pA Leakage Current, Normally OFF, 1.8Ohm Ron, SC-70"
"U50","1","LTC6752xS5","","","","Package_TO_SOT_SMD:TSOT-23-5","https://www.analog.com/media/en/technical-documentation/data-sheets/6752fc.pdf","","","","Single 280Mhz 2.9ns Comparator, Rail-to-Rail Inputs, CMOS Output, TSOT-23-5"
"U51","1","LT3045xDD","","","","Package_DFN_QFN:DFN-10-1EP_3x3mm_P0.5mm_EP1.65x2.38mm","https://www.analog.com/media/en/technical-documentation/data-sheets/3045fa.pdf","","","","500mA, Adjustable, Ultralow Noise, Ultrahigh PSRR Linear Regulator, DFN-10"
"U52","1","74LVC1G157GW-Q100H","","","","SC-74_TSOP6_SOT457_NEX","74LVC1G157GW-Q100H","","","",""
"U53","1","74LVC1G34","","","","","https://www.ti.com/lit/ds/symlink/sn74lvc1g34.pdf","","","","Single Buffer Gate, Low-Voltage CMOS"
"U54","1","MCP23017T-E/ML","","","","Package_DFN_QFN:QFN-28-1EP_6x6mm_P0.65mm_EP4.25x4.25mm","https://ww1.microchip.com/downloads/aemDocuments/documents/APID/ProductDocuments/DataSheets/MCP23017-Data-Sheet-DS20001952.pdf","","","","16-bit I/O expander, I2C, interrupts, w pull-ups, GPA7/GPB7 output only (https://microchip.my.site.com/s/article/GPA7---GPB7-Cannot-Be-Used-as-Inputs-In-MCP23017), QFN-28"
"U55","1","MCP23017T-E/ML","","","","Package_DFN_QFN:QFN-28-1EP_6x6mm_P0.65mm_EP4.25x4.25mm","https://ww1.microchip.com/downloads/aemDocuments/documents/APID/ProductDocuments/DataSheets/MCP23017-Data-Sheet-DS20001952.pdf","","","","16-bit I/O expander, I2C, interrupts, w pull-ups, GPA7/GPB7 output only (https://microchip.my.site.com/s/article/GPA7---GPB7-Cannot-Be-Used-as-Inputs-In-MCP23017), QFN-28"
"U56","1","LTC4311ISC6-TRPBF","","","","SOT-6_SC_LIT","https://www.analog.com/media/en/technical-documentation/data-sheets/4311fa.pdf","","","",""
"U57","1","TMP117xxDRV","","","","Package_SON:WSON-6-1EP_2x2mm_P0.65mm_EP1x1.6mm","https://www.ti.com/lit/ds/symlink/tmp117.pdf","","","","Digital Temperature Sensor with I2C/SMBus Interface, 16 bits, ±0.3°C, one-shot conversion, alert, nist traceable, EEPROM, WSON"
"U58","1","TMP117xxDRV","","","","Package_SON:WSON-6-1EP_2x2mm_P0.65mm_EP1x1.6mm","https://www.ti.com/lit/ds/symlink/tmp117.pdf","","","","Digital Temperature Sensor with I2C/SMBus Interface, 16 bits, ±0.3°C, one-shot conversion, alert, nist traceable, EEPROM, WSON"
"U59","1","LIS2DH12TR","","","","LGA-12_STM","https://www.st.com/resource/en/datasheet/lis2dh12.pdf","","","",""
"U60","1","ATECC608B-SSHDA","","","","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","https://ww1.microchip.com/downloads/aemDocuments/documents/SCBU/ProductDocuments/DataSheets/ATECC608B-CryptoAuthentication-Device-Summary-Data-Sheet-DS40002239B.pdf","","","","Cryptographic Co-Processor with Secure Hardware-based 16 Key Storage, ECDSA and ECDH support, I2C, SOIC-8"
"U61","1","IIS2MDCTR","","","","LGA-12_2X2X0P7_STM","https://www.st.com/resource/en/datasheet/iis2mdc.pdf","","","",""
"U62","1","MX25L25645GM2I-08G","","","","","","","","",""
"U63","1","PCA9306DCTT","","","","DCT8","https://www.ti.com/lit/gpn/pca9306","","","",""
"U64","1","TPS3430WDRC","","","","Package_SON:VSON-10-1EP_3x3mm_P0.5mm_EP1.65x2.4mm","https://www.ti.com/lit/gpn/TPS3430","","","","Window watchdog timer with programmable reset delay"
"Y1","1","25MHz","","","","","https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/6710/445I23D25M00000.pdf","110-445I23E25M00000CT-ND","CTS-Frequency Controls","445I23E25M00000","CRYSTAL 25.0000MHZ 20PF SMD"
"Y2","1","32.768kHz","","","","","https://abracon.com/Resonators/ABS07.pdf","535-9542-1-ND","Abracon LLC","ABS07-32.768KHZ-T","CRYSTAL 32.7680KHZ 12.5PF SMD"
"Y3","1","OH300","","","","Oscillator:Oscillator_SMD_OCXO_ConnorWinfield_OH300","http://www.conwin.com/datasheets/cx/cx210.pdf","CW752CT-ND","Connor Winfield","OH300-61003CV-010.0M","XTAL OSC VCOCXO 10.0000MHZ CMOS"
