Ref,Qty,Value,Footprint,Dielectric/Type,Voltage,Tolerance,Power/Current,Manufacturer,MPN,Description,Status,Notes,Sheet
C1,1,4.7nF,C_0402_1005Metric,X7R,2kV,10%,,,,CAP CER 4.7nF 2kV X7R 0402,SELECT,shield-to-chassis HV Y-cap; 0402 impossible-needs 1808/1812,Ethernet Input
C2,1,0.022uF,C_0402_1005Metric,X7R,50V,10%,,Murata,GRM155R71H223KA12D,CAP CER 0.022uF 50V X7R 0402,STD,,Ethernet Input
C3,1,1nF,C_0402_1005Metric,C0G,50V,5%,,Murata,GRM1555C1H102FA01J,CAP CER 1nF 50V C0G 0402,STD,,PoE
C4,1,0.1uF,C_0402_1005Metric,X7R,16V,10%,,Murata,GRM155R71C104KA88J,CAP CER 0.1uF 16V X7R 0402,STD,,PoE
C5,1,0.1uF,C_0402_1005Metric,X7R,16V,10%,,Murata,GRM155R71C104KA88J,CAP CER 0.1uF 16V X7R 0402,STD,,PoE
C6,1,1nF,C_0402_1005Metric,C0G,100V,5%,,Murata,GRM1555C2A102JA01D,CAP CER 1nF 100V C0G 0402,REVIEW-HV,on VOUT_N (PoE primary),PoE
C7,1,1uF,C_0603_1608Metric,X7T,100V,10%,,Murata,GRM188D72A105KE01W,CAP CER 1uF 100V X7T 0603,REVIEW-HV,on VOUT_N (PoE primary),PoE
C8,1,0.1uF,C_0402_1005Metric,X7R,100V,10%,,,,CAP CER 0.1uF 100V X7R 0402,SELECT,0.1uF 100V on VOUT_P; 0402 likely too small-verify pkg,PoE
C9,1,1uF,C_0603_1608Metric,X7T,100V,10%,,Murata,GRM188D72A105KE01W,CAP CER 1uF 100V X7T 0603,REVIEW-HV,on VOUT_N (PoE primary),PoE
C10,1,10uF,C_0805_2012Metric,X7S,100V,10%,,,,CAP CER 10uF 100V X7S 0805,SELECT,10uF 100V on VOUT_P; 0805 undersized-needs 1210/1812,PoE
C11,1,47pF,C_0402_1005Metric,C0G,100V,5%,,Murata,GRM1555C2A470JA01D,CAP CER 47pF 100V C0G 0402,REVIEW-HV,on VOUT_N (PoE primary),PoE
C12,1,0.1uF,C_0402_1005Metric,X7R,16V,10%,,Murata,GRM155R71C104KA88J,CAP CER 0.1uF 16V X7R 0402,STD,,PoE
C13,1,4.7uF,C_0805_2012Metric,X7R,16V,10%,,Murata,GRM21BR71C475KE51K,CAP CER 4.7uF 16V X7R 0805,STD,,Ethernet PHY
C14,1,27pF,C_0402_1005Metric,C0G,50V,5%,,Murata,GRM1555C1H270FA01D,CAP CER 27pF 50V C0G 0402,STD,,Ethernet PHY
C15,1,0.1uF,C_0402_1005Metric,X7R,16V,10%,,Murata,GRM155R71C104KA88J,CAP CER 0.1uF 16V X7R 0402,STD,,Ethernet PHY
C16,1,27pF,C_0402_1005Metric,C0G,50V,5%,,Murata,GRM1555C1H270FA01D,CAP CER 27pF 50V C0G 0402,STD,,Ethernet PHY
C17,1,470pF,C_0402_1005Metric,C0G,50V,5%,,Murata,GRM1555C1H471FA01D,CAP CER 470pF 50V C0G 0402,STD,,Ethernet PHY
C18,1,1uF,C_0603_1608Metric,X7R,16V,10%,,Murata,GRM188R71C105KA12D,CAP CER 1uF 16V X7R 0603,STD,,Ethernet PHY
C19,1,0.1uF,C_0402_1005Metric,X7R,16V,10%,,Murata,GRM155R71C104KA88J,CAP CER 0.1uF 16V X7R 0402,STD,,Ethernet PHY
C20,1,0.1uF,C_0402_1005Metric,X7R,16V,10%,,Murata,GRM155R71C104KA88J,CAP CER 0.1uF 16V X7R 0402,STD,,Ethernet PHY
C21,1,0.1uF,C_0402_1005Metric,X7R,16V,10%,,Murata,GRM155R71C104KA88J,CAP CER 0.1uF 16V X7R 0402,STD,,STM32
C22,1,0.1uF,C_0402_1005Metric,X7R,16V,10%,,Murata,GRM155R71C104KA88J,CAP CER 0.1uF 16V X7R 0402,STD,,STM32
C23,1,0.1uF,C_0402_1005Metric,X7R,16V,10%,,Murata,GRM155R71C104KA88J,CAP CER 0.1uF 16V X7R 0402,STD,,STM32
C24,1,0.1uF,C_0402_1005Metric,X7R,16V,10%,,Murata,GRM155R71C104KA88J,CAP CER 0.1uF 16V X7R 0402,STD,,STM32
C25,1,0.1uF,C_0402_1005Metric,X7R,16V,10%,,Murata,GRM155R71C104KA88J,CAP CER 0.1uF 16V X7R 0402,STD,,STM32
C26,1,0.1uF,C_0402_1005Metric,X7R,16V,10%,,Murata,GRM155R71C104KA88J,CAP CER 0.1uF 16V X7R 0402,STD,,STM32
C27,1,4.7uF,C_0805_2012Metric,X7R,16V,10%,,Murata,GRM21BR71C475KE51K,CAP CER 4.7uF 16V X7R 0805,STD,,STM32
C28,1,1uF,C_0603_1608Metric,X7R,16V,10%,,Murata,GRM188R71C105KA12D,CAP CER 1uF 16V X7R 0603,STD,,STM32
C29,1,12pF,C_0402_1005Metric,C0G,50V,5%,,Murata,GRM1555C1H120FA01D,CAP CER 12pF 50V C0G 0402,STD,,STM32
C30,1,4.7uF,C_0805_2012Metric,X7R,16V,10%,,Murata,GRM21BR71C475KE51K,CAP CER 4.7uF 16V X7R 0805,STD,,STM32
C31,1,12pF,C_0402_1005Metric,C0G,50V,5%,,Murata,GRM1555C1H120FA01D,CAP CER 12pF 50V C0G 0402,STD,,STM32
C32,1,10uF,C_0805_2012Metric,X7R,16V,10%,,Murata,GRM21BZ71C106KE15L,CAP CER 10uF 16V X7R 0805,STD,,STM32
C33,1,4.7uF,C_0805_2012Metric,X7R,16V,10%,,Murata,GRM21BR71C475KE51K,CAP CER 4.7uF 16V X7R 0805,STD,,STM32
C34,1,2.2uF,C_0603_1608Metric,X7R,16V,10%,,Murata,GRM188Z71C225KE43D,CAP CER 2.2uF 16V X7R 0603,STD,,STM32
C35,1,0.1uF,C_0402_1005Metric,X7R,16V,10%,,Murata,GRM155R71C104KA88J,CAP CER 0.1uF 16V X7R 0402,STD,,STM32
C36,1,2.2uF,C_0603_1608Metric,X7R,16V,10%,,Murata,GRM188Z71C225KE43D,CAP CER 2.2uF 16V X7R 0603,STD,,STM32
C37,1,1nF,C_0402_1005Metric,C0G,50V,5%,,Murata,GRM1555C1H102FA01J,CAP CER 1nF 50V C0G 0402,STD,,STM32
C38,1,2.2uF,C_0603_1608Metric,X7R,16V,10%,,Murata,GRM188Z71C225KE43D,CAP CER 2.2uF 16V X7R 0603,STD,,STM32
C39,1,2.2uF,C_0603_1608Metric,X7R,16V,10%,,Murata,GRM188Z71C225KE43D,CAP CER 2.2uF 16V X7R 0603,STD,,STM32
C40,1,1uF,C_0603_1608Metric,X7R,16V,10%,,Murata,GRM188R71C105KA12D,CAP CER 1uF 16V X7R 0603,STD,,Connectors
C41,1,0.1uF,C_0402_1005Metric,X7R,16V,10%,,Murata,GRM155R71C104KA88J,CAP CER 0.1uF 16V X7R 0402,STD,,Connectors
C42,1,4.7nF,C_0402_1005Metric,X7R,2kV,10%,,,,CAP CER 4.7nF 2kV X7R 0402,SELECT,shield-to-chassis HV Y-cap; 0402 impossible-needs 1808/1812,Connectors
C43,1,0.1uF,C_0402_1005Metric,X7R,16V,10%,,Murata,GRM155R71C104KA88J,CAP CER 0.1uF 16V X7R 0402,STD,,Connectors
C45,1,1uF,C_0603_1608Metric,X7R,16V,10%,,Murata,GRM188R71C105KA12D,CAP CER 1uF 16V X7R 0603,STD,,GPS
C46,1,4.7uF,C_0805_2012Metric,X7R,16V,10%,,Murata,GRM21BR71C475KE51K,CAP CER 4.7uF 16V X7R 0805,STD,,GPS
C47,1,1uF,C_0603_1608Metric,X7R,16V,10%,,Murata,GRM188R71C105KA12D,CAP CER 1uF 16V X7R 0603,STD,,GPS
C48,1,0.1uF,C_0402_1005Metric,X7R,16V,10%,,Murata,GRM155R71C104KA88J,CAP CER 0.1uF 16V X7R 0402,STD,,GPS
C49,1,0.47uF,C_0603_1608Metric,X7R,16V,10%,,Murata,GRM188R71C474KA88D,CAP CER 0.47uF 16V X7R 0603,STD,,GPS
C50,1,10uF,C_0805_2012Metric,X7R,16V,10%,,Murata,GRM21BZ71C106KE15L,CAP CER 10uF 16V X7R 0805,STD,,GPS
C51,1,0.1uF,C_0402_1005Metric,X7R,16V,10%,,Murata,GRM155R71C104KA88J,CAP CER 0.1uF 16V X7R 0402,STD,,GPS
C52,1,1uF,C_0603_1608Metric,X7R,16V,10%,,Murata,GRM188R71C105KA12D,CAP CER 1uF 16V X7R 0603,STD,,GPS Antenna
C53,1,0.1uF,C_0402_1005Metric,X7R,16V,10%,,Murata,GRM155R71C104KA88J,CAP CER 0.1uF 16V X7R 0402,STD,,GPS Antenna
C54,1,0.1uF,C_0402_1005Metric,X7R,16V,10%,,Murata,GRM155R71C104KA88J,CAP CER 0.1uF 16V X7R 0402,STD,,GPS Antenna
C55,1,0.1uF,C_0402_1005Metric,X7R,16V,10%,,Murata,GRM155R71C104KA88J,CAP CER 0.1uF 16V X7R 0402,STD,,GPS Antenna
C56,1,0.1uF,C_0402_1005Metric,X7R,16V,10%,,Murata,GRM155R71C104KA88J,CAP CER 0.1uF 16V X7R 0402,STD,,GPS Antenna
C57,1,1uF,C_0603_1608Metric,X7R,16V,10%,,Murata,GRM188R71C105KA12D,CAP CER 1uF 16V X7R 0603,STD,,GPS Antenna
C58,1,0.1uF,C_0402_1005Metric,X7R,16V,10%,,Murata,GRM155R71C104KA88J,CAP CER 0.1uF 16V X7R 0402,STD,,GPS Antenna
C59,1,10uF,C_0805_2012Metric,X7R,16V,10%,,Murata,GRM21BZ71C106KE15L,CAP CER 10uF 16V X7R 0805,STD,,GPS Antenna
C60,1,0.1uF,C_0402_1005Metric,X7R,16V,10%,,Murata,GRM155R71C104KA88J,CAP CER 0.1uF 16V X7R 0402,STD,,GPS Antenna
C61,1,0.1uF,C_0402_1005Metric,X7R,16V,10%,,Murata,GRM155R71C104KA88J,CAP CER 0.1uF 16V X7R 0402,STD,,GPS Antenna
C62,1,1nF,C_0402_1005Metric,C0G,50V,5%,,Murata,GRM1555C1H102FA01J,CAP CER 1nF 50V C0G 0402,STD,,GPS Antenna
C63,1,10nF,C_0402_1005Metric,X7R,16V,10%,,Murata,GRM155R71C103KA01D,CAP CER 10nF 16V X7R 0402,STD,,5V/3.3V Main Power Supply
C64,1,10uF,C_0805_2012Metric,X7R,16V,10%,,Murata,GRM21BZ71C106KE15L,CAP CER 10uF 16V X7R 0805,STD,,5V/3.3V Main Power Supply
C65,1,10uF,C_0805_2012Metric,X7R,16V,10%,,Murata,GRM21BZ71C106KE15L,CAP CER 10uF 16V X7R 0805,STD,,5V/3.3V Main Power Supply
C66,1,10uF,C_0805_2012Metric,X7R,16V,10%,,Murata,GRM21BZ71C106KE15L,CAP CER 10uF 16V X7R 0805,STD,,5V/3.3V Main Power Supply
C67,1,0.1uF,C_0402_1005Metric,X7R,16V,10%,,Murata,GRM155R71C104KA88J,CAP CER 0.1uF 16V X7R 0402,STD,,5V/3.3V Main Power Supply
C68,1,0.1uF,C_0402_1005Metric,X7R,16V,10%,,Murata,GRM155R71C104KA88J,CAP CER 0.1uF 16V X7R 0402,STD,,5V/3.3V Main Power Supply
C69,1,4.7nF,C_0402_1005Metric,X7R,16V,10%,,Murata,GRM155R71C472KA01D,CAP CER 4.7nF 16V X7R 0402,STD,,5V/3.3V Main Power Supply
C70,1,4.7nF,C_0402_1005Metric,X7R,16V,10%,,Murata,GRM155R71C472KA01D,CAP CER 4.7nF 16V X7R 0402,STD,,5V/3.3V Main Power Supply
C71,1,47uF,C_1210_3225Metric,X6S,16V,10%,,Murata,GRM32EC81C476KE15K,CAP CER 47uF 16V X6S 1210,STD,,5V/3.3V Main Power Supply
C72,1,47uF,C_1210_3225Metric,X6S,16V,10%,,Murata,GRM32EC81C476KE15K,CAP CER 47uF 16V X6S 1210,STD,,5V/3.3V Main Power Supply
C73,1,10uF,C_0805_2012Metric,X7R,16V,10%,,Murata,GRM21BZ71C106KE15L,CAP CER 10uF 16V X7R 0805,STD,,5V/3.3V Main Power Supply
C74,1,10uF,C_0805_2012Metric,X7R,16V,10%,,Murata,GRM21BZ71C106KE15L,CAP CER 10uF 16V X7R 0805,STD,,5V/3.3V Main Power Supply
C75,1,2.2uF,C_0805_2012Metric,X7T,100V,10%,,Murata,GRM21BD72A225ME01K,CAP CER 2.2uF 100V X7T 0805,STD,buck HV node,5V/3.3V Main Power Supply
C76,1,10uF,C_0805_2012Metric,X7R,16V,10%,,Murata,GRM21BZ71C106KE15L,CAP CER 10uF 16V X7R 0805,STD,,5V/3.3V Main Power Supply
C77,1,2.2uF,C_0805_2012Metric,X7T,100V,10%,,Murata,GRM21BD72A225ME01K,CAP CER 2.2uF 100V X7T 0805,STD,buck HV node,5V/3.3V Main Power Supply
C78,1,10uF,C_0805_2012Metric,X7R,16V,10%,,Murata,GRM21BZ71C106KE15L,CAP CER 10uF 16V X7R 0805,STD,,5V/3.3V Main Power Supply
C79,1,1uF,C_0603_1608Metric,X7T,100V,10%,,Murata,GRM188D72A105KE01W,CAP CER 1uF 100V X7T 0603,STD,main-power HV,5V/3.3V Main Power Supply
C80,1,2.2uF,C_0805_2012Metric,X7T,100V,10%,,Murata,GRM21BD72A225ME01K,CAP CER 2.2uF 100V X7T 0805,STD,buck HV node,5V/3.3V Main Power Supply
C81,1,4.7uF,C_0805_2012Metric,X7R,16V,10%,,Murata,GRM21BR71C475KE51K,CAP CER 4.7uF 16V X7R 0805,STD,,5V/3.3V Main Power Supply
C82,1,2.2uF,C_0603_1608Metric,X7R,16V,10%,,Murata,GRM188Z71C225KE43D,CAP CER 2.2uF 16V X7R 0603,STD,,5V/3.3V Main Power Supply
C83,1,0.1uF,C_0402_1005Metric,X7R,16V,10%,,Murata,GRM155R71C104KA88J,CAP CER 0.1uF 16V X7R 0402,STD,,5V/3.3V Main Power Supply
C84,1,1uF,C_0603_1608Metric,X7R,16V,10%,,Murata,GRM188R71C105KA12D,CAP CER 1uF 16V X7R 0603,STD,,5V/3.3V Main Power Supply
C85,1,1uF,C_0603_1608Metric,X7R,16V,10%,,Murata,GRM188R71C105KA12D,CAP CER 1uF 16V X7R 0603,STD,,5V/3.3V Main Power Supply
C86,1,0.1uF,C_0402_1005Metric,X7R,16V,10%,,Murata,GRM155R71C104KA88J,CAP CER 0.1uF 16V X7R 0402,STD,,5V/3.3V Main Power Supply
C87,1,0.1uF,C_0402_1005Metric,X7R,16V,10%,,Murata,GRM155R71C104KA88J,CAP CER 0.1uF 16V X7R 0402,STD,,5V/3.3V Main Power Supply
C88,1,10uF,C_0805_2012Metric,X7R,16V,10%,,Murata,GRM21BZ71C106KE15L,CAP CER 10uF 16V X7R 0805,STD,,Battery Backup Supplies
C89,1,10uF,C_0805_2012Metric,X7R,16V,10%,,Murata,GRM21BZ71C106KE15L,CAP CER 10uF 16V X7R 0805,STD,,Battery Backup Supplies
C90,1,3F,Radial,EDLC,3V,5%,,Cornell Dubilier,DSF305Q3R0,CAP CER 3F 3V EDLC Radial,KEEP,supercap 3F -10/+30%,Battery Backup Supplies
C91,1,3F,Radial,EDLC,3V,5%,,Cornell Dubilier,DSF305Q3R0,CAP CER 3F 3V EDLC Radial,KEEP,supercap 3F -10/+30%,Battery Backup Supplies
C92,1,22uF,C_0805_2012Metric,X5R,16V,10%,,Murata,GRM21BR61C226ME44L,CAP CER 22uF 16V X5R 0805,STD,,Battery Backup Supplies
C93,1,22uF,C_0805_2012Metric,X5R,16V,10%,,Murata,GRM21BR61C226ME44L,CAP CER 22uF 16V X5R 0805,STD,,Battery Backup Supplies
C94,1,22uF,C_0805_2012Metric,X5R,16V,10%,,Murata,GRM21BR61C226ME44L,CAP CER 22uF 16V X5R 0805,STD,,Battery Backup Supplies
C95,1,22uF,C_0805_2012Metric,X5R,16V,10%,,Murata,GRM21BR61C226ME44L,CAP CER 22uF 16V X5R 0805,STD,,Battery Backup Supplies
C96,1,22uF,C_0805_2012Metric,X5R,16V,10%,,Murata,GRM21BR61C226ME44L,CAP CER 22uF 16V X5R 0805,STD,,Battery Backup Supplies
C97,1,22uF,C_0805_2012Metric,X5R,16V,10%,,Murata,GRM21BR61C226ME44L,CAP CER 22uF 16V X5R 0805,STD,,Battery Backup Supplies
C98,1,0.1uF,C_0402_1005Metric,C0G/film,16V,5%,,,,CAP CER 0.1uF 16V C0G/film 0402,SELECT,OCXO Vc buffer +IN node (U36); NOT X7R-0.1uF C0G needs film/1210,OCXO
C99,1,0.1uF,C_0402_1005Metric,C0G/film,16V,5%,,,,CAP CER 0.1uF 16V C0G/film 0402,SELECT,OCXO Vc loop-filter node (R121/U36); NOT X7R-needs film/1210,OCXO
C100,1,0.1uF,C_0402_1005Metric,X7R,16V,10%,,Murata,GRM155R71C104KA88J,CAP CER 0.1uF 16V X7R 0402,STD,,OCXO
C101,1,0.1uF,C_0402_1005Metric,C0G/film,16V,5%,,,,CAP CER 0.1uF 16V C0G/film 0402,SELECT,OCXO Vcontrol node (Y3.1); NOT X7R-needs film/1210,OCXO
C102,1,10uF,C_0805_2012Metric,X7R,16V,10%,,Murata,GRM21BZ71C106KE15L,CAP CER 10uF 16V X7R 0805,STD,,OCXO
C103,1,10uF,C_0805_2012Metric,X7R,16V,10%,,Murata,GRM21BZ71C106KE15L,CAP CER 10uF 16V X7R 0805,STD,,OCXO
C104,1,10uF,C_0805_2012Metric,X7R,16V,10%,,Murata,GRM21BZ71C106KE15L,CAP CER 10uF 16V X7R 0805,STD,,OCXO
C105,1,10uF,C_0805_2012Metric,X7R,16V,10%,,Murata,GRM21BZ71C106KE15L,CAP CER 10uF 16V X7R 0805,STD,,OCXO
C106,1,10nF,C_0402_1005Metric,X7R,16V,10%,,Murata,GRM155R71C103KA01D,CAP CER 10nF 16V X7R 0402,STD,,OCXO
C107,1,0.1uF,C_0402_1005Metric,X7R,16V,10%,,Murata,GRM155R71C104KA88J,CAP CER 0.1uF 16V X7R 0402,STD,,OCXO
C108,1,4.7nF,C_0402_1005Metric,X7R,16V,10%,,Murata,GRM155R71C472KA01D,CAP CER 4.7nF 16V X7R 0402,STD,,OCXO
C109,1,22uF,C_0805_2012Metric,X5R,16V,10%,,Murata,GRM21BR61C226ME44L,CAP CER 22uF 16V X5R 0805,STD,OCXO bulk (not Vc path),OCXO
C110,1,10nF,C_0402_1005Metric,X7R,16V,10%,,Murata,GRM155R71C103KA01D,CAP CER 10nF 16V X7R 0402,STD,,OCXO
C111,1,10uF,C_0805_2012Metric,X7R,16V,10%,,Murata,GRM21BZ71C106KE15L,CAP CER 10uF 16V X7R 0805,STD,,OCXO
C112,1,10uF,C_0805_2012Metric,X7R,16V,10%,,Murata,GRM21BZ71C106KE15L,CAP CER 10uF 16V X7R 0805,STD,,OCXO
C113,1,10uF,C_0805_2012Metric,X7R,16V,10%,,Murata,GRM21BZ71C106KE15L,CAP CER 10uF 16V X7R 0805,STD,,OCXO
C114,1,10uF,C_0805_2012Metric,X7R,16V,10%,,Murata,GRM21BZ71C106KE15L,CAP CER 10uF 16V X7R 0805,STD,,OCXO
C115,1,10uF,C_0805_2012Metric,X7R,16V,10%,,Murata,GRM21BZ71C106KE15L,CAP CER 10uF 16V X7R 0805,STD,,OCXO
C116,1,10nF,C_0402_1005Metric,X7R,16V,10%,,Murata,GRM155R71C103KA01D,CAP CER 10nF 16V X7R 0402,STD,,OCXO
C117,1,22uF,C_0805_2012Metric,X5R,16V,10%,,Murata,GRM21BR61C226ME44L,CAP CER 22uF 16V X5R 0805,STD,OCXO bulk (not Vc path),OCXO
C118,1,0.1uF,C_0402_1005Metric,X7R,16V,10%,,Murata,GRM155R71C104KA88J,CAP CER 0.1uF 16V X7R 0402,STD,,OCXO
C119,1,10nF,C_0402_1005Metric,X7R,16V,10%,,Murata,GRM155R71C103KA01D,CAP CER 10nF 16V X7R 0402,STD,,Rb Power
C120,1,0.1uF,C_0402_1005Metric,X7R,16V,10%,,Murata,GRM155R71C104KA88J,CAP CER 0.1uF 16V X7R 0402,STD,,Rb Power
C121,1,0.1uF,C_0402_1005Metric,X7R,16V,10%,,Murata,GRM155R71C104KA88J,CAP CER 0.1uF 16V X7R 0402,STD,,Rb Power
C122,1,0.1uF,C_0402_1005Metric,X7R,16V,10%,,Murata,GRM155R71C104KA88J,CAP CER 0.1uF 16V X7R 0402,STD,,Rb Power
C123,1,0.1uF,C_0402_1005Metric,X7R,16V,10%,,Murata,GRM155R71C104KA88J,CAP CER 0.1uF 16V X7R 0402,STD,,Rb Power
C124,1,0.1uF,C_0402_1005Metric,X7R,16V,10%,,Murata,GRM155R71C104KA88J,CAP CER 0.1uF 16V X7R 0402,STD,,Rb Power
C125,1,47nF,C_0402_1005Metric,C0G,50V,10%,,,,CAP CER 47nF 50V C0G 0402,SELECT,VCC_RB buck-output feedforward-16V underrated on 24.45V rail; re-rate >=50V,Rb Power
C126,1,47uF,C_1210_3225Metric,X7S,50V,10%,,,,CAP CER 47uF 50V X7S 1210,SELECT,VCC_RB buck-output bulk-16V underrated on 24.45V rail; >=50V+DC-bias wont fit 1210 (grow 1812/split),Rb Power
C127,1,47uF,C_1210_3225Metric,X7S,50V,10%,,,,CAP CER 47uF 50V X7S 1210,SELECT,VCC_RB buck-output bulk-16V underrated on 24.45V rail; >=50V+DC-bias wont fit 1210 (grow 1812/split),Rb Power
C128,1,47uF,C_1210_3225Metric,X7S,50V,10%,,,,CAP CER 47uF 50V X7S 1210,SELECT,VCC_RB buck-output bulk-16V underrated on 24.45V rail; >=50V+DC-bias wont fit 1210 (grow 1812/split),Rb Power
C129,1,2.2uF,C_0603_1608Metric,X7R,16V,10%,,Murata,GRM188Z71C225KE43D,CAP CER 2.2uF 16V X7R 0603,STD,,Rb Power
C130,1,1uF,C_0603_1608Metric,X7R,16V,10%,,Murata,GRM188R71C105KA12D,CAP CER 1uF 16V X7R 0603,STD,,Rb Power
C131,1,0.1uF,C_0402_1005Metric,X7R,16V,10%,,Murata,GRM155R71C104KA88J,CAP CER 0.1uF 16V X7R 0402,STD,,Rb Power
C132,1,0.1uF,C_0402_1005Metric,X7R,16V,10%,,Murata,GRM155R71C104KA88J,CAP CER 0.1uF 16V X7R 0402,STD,,Rb Power
C133,1,2.2uF,C_0805_2012Metric,X7T,100V,10%,,Murata,GRM21BD72A225ME01K,CAP CER 2.2uF 100V X7T 0805,STD,buck HV node,Rb Power
C134,1,2.2uF,C_0805_2012Metric,X7T,100V,10%,,Murata,GRM21BD72A225ME01K,CAP CER 2.2uF 100V X7T 0805,STD,buck HV node,Rb Power
C135,1,1uF,C_0603_1608Metric,X7T,100V,10%,,Murata,GRM188D72A105KE01W,CAP CER 1uF 100V X7T 0603,STD,Rb-power HV,Rb Power
C136,1,2.2uF,C_0805_2012Metric,X7T,100V,10%,,Murata,GRM21BD72A225ME01K,CAP CER 2.2uF 100V X7T 0805,STD,buck HV node,Rb Power
C137,1,4.7uF,C_0805_2012Metric,X7R,16V,10%,,Murata,GRM21BR71C475KE51K,CAP CER 4.7uF 16V X7R 0805,STD,,Rb Power
C138,1,2.2uF,C_0603_1608Metric,X7R,16V,10%,,Murata,GRM188Z71C225KE43D,CAP CER 2.2uF 16V X7R 0603,STD,,Rb Power
C139,1,0.1uF,C_0402_1005Metric,X7R,16V,10%,,Murata,GRM155R71C104KA88J,CAP CER 0.1uF 16V X7R 0402,STD,,Rb IO
C140,1,0.1uF,C_0402_1005Metric,X7R,16V,10%,,Murata,GRM155R71C104KA88J,CAP CER 0.1uF 16V X7R 0402,STD,,Rb IO
C141,1,47pF,C_0402_1005Metric,C0G,50V,5%,,Murata,GRM1555C1H470JA01J,CAP CER 47pF 50V C0G 0402,STD,,Rb IO
C142,1,47pF,C_0402_1005Metric,C0G,50V,5%,,Murata,GRM1555C1H470JA01J,CAP CER 47pF 50V C0G 0402,STD,,Rb IO
C143,1,1uF,C_0603_1608Metric,X7R,16V,10%,,Murata,GRM188R71C105KA12D,CAP CER 1uF 16V X7R 0603,STD,,Rb IO
C144,1,0.1uF,C_0402_1005Metric,X7R,16V,10%,,Murata,GRM155R71C104KA88J,CAP CER 0.1uF 16V X7R 0402,STD,,Rb IO
C145,1,0.1uF,C_0402_1005Metric,X7R,16V,10%,,Murata,GRM155R71C104KA88J,CAP CER 0.1uF 16V X7R 0402,STD,,Rb IO
C146,1,47pF,C_0402_1005Metric,C0G,50V,5%,,Murata,GRM1555C1H470JA01J,CAP CER 47pF 50V C0G 0402,STD,,Rb IO
C147,1,47pF,C_0402_1005Metric,C0G,50V,5%,,Murata,GRM1555C1H470JA01J,CAP CER 47pF 50V C0G 0402,STD,,Rb IO
C148,1,10nF,C_0402_1005Metric,X7R,16V,10%,,Murata,GRM155R71C103KA01D,CAP CER 10nF 16V X7R 0402,STD,,Rb IO
C149,1,0.1uF,C_0402_1005Metric,X7R,16V,10%,,Murata,GRM155R71C104KA88J,CAP CER 0.1uF 16V X7R 0402,STD,,Refrence Clock Input
C150,1,0.1uF,C_0402_1005Metric,X7R,16V,10%,,Murata,GRM155R71C104KA88J,CAP CER 0.1uF 16V X7R 0402,STD,,Refrence Clock Input
C151,1,10nF,C_0402_1005Metric,X7R,16V,10%,,Murata,GRM155R71C103KA01D,CAP CER 10nF 16V X7R 0402,STD,,Refrence Clock Input
C152,1,1uF,C_0603_1608Metric,X7R,16V,10%,,Murata,GRM188R71C105KA12D,CAP CER 1uF 16V X7R 0603,STD,,Refrence Clock Input
C153,1,0.1uF,C_0402_1005Metric,X7R,16V,10%,,Murata,GRM155R71C104KA88J,CAP CER 0.1uF 16V X7R 0402,STD,,Refrence Clock Input
C154,1,10uF,C_0805_2012Metric,X7R,16V,10%,,Murata,GRM21BZ71C106KE15L,CAP CER 10uF 16V X7R 0805,STD,,Refrence Clock Input
C155,1,10nF,C_0402_1005Metric,X7R,16V,10%,,Murata,GRM155R71C103KA01D,CAP CER 10nF 16V X7R 0402,STD,,Refrence Clock Input
C156,1,10uF,C_0805_2012Metric,X7R,16V,10%,,Murata,GRM21BZ71C106KE15L,CAP CER 10uF 16V X7R 0805,STD,,Refrence Clock Input
C157,1,1uF,C_0603_1608Metric,X7R,16V,10%,,Murata,GRM188R71C105KA12D,CAP CER 1uF 16V X7R 0603,STD,,Clock MUX
