Ref,Qty,Value,Footprint,Dielectric/Type,Voltage,Tolerance,Power/Current,Manufacturer,MPN,Description,Status,Notes,Sheet
R30,1,150m,R_0805_2012Metric,Metal-strip shunt,,0.5%,1/4W,,,RES 150m SENSE 0.5% 0805,SHUNT-REVIEW,"U10 INA228 PoE-input shunt (VOUT_P/V_POE); confirm value vs final full-scale current, pick 0.5% or 4-terminal",PoE
R31,1,100,R_0402_1005Metric,Thick-film,,1%,1/10W,Panasonic,ERJ-2RKF1000X,RES 100 1% 1/10W 0402,STD,,Ethernet PHY
R32,1,100,R_0402_1005Metric,Thick-film,,1%,1/10W,Panasonic,ERJ-2RKF1000X,RES 100 1% 1/10W 0402,STD,,Ethernet PHY
R33,1,100,R_0402_1005Metric,Thick-film,,1%,1/10W,Panasonic,ERJ-2RKF1000X,RES 100 1% 1/10W 0402,STD,,Ethernet PHY
R34,1,100,R_0402_1005Metric,Thick-film,,1%,1/10W,Panasonic,ERJ-2RKF1000X,RES 100 1% 1/10W 0402,STD,,Ethernet PHY
R35,1,10k,R_0402_1005Metric,Thick-film,,1%,1/10W,Panasonic,ERJ-2RKF1002X,RES 10k 1% 1/10W 0402,STD,,Ethernet PHY
R36,1,1.5k,R_0402_1005Metric,Thick-film,,1%,1/10W,Panasonic,ERJ-2RKF1501X,RES 1.5k 1% 1/10W 0402,STD,,Ethernet PHY
R37,1,12.1k,R_0402_1005Metric,Thick-film,,1%,1/10W,Panasonic,ERJ-2RKF1212X,RES 12.1k 1% 1/10W 0402,STD,,Ethernet PHY
R38,1,330,R_0402_1005Metric,Thick-film,,1%,1/10W,Panasonic,ERJ-2RKF3300X,RES 330 1% 1/10W 0402,STD,,Ethernet PHY
R39,1,330,R_0402_1005Metric,Thick-film,,1%,1/10W,Panasonic,ERJ-2RKF3300X,RES 330 1% 1/10W 0402,STD,,Ethernet PHY
R40,1,4.75k,R_0402_1005Metric,Thick-film,,1%,1/10W,Panasonic,ERJ-2RKF4751X,RES 4.75k 1% 1/10W 0402,STD,,Ethernet PHY
R41,1,4.75k,R_0402_1005Metric,Thick-film,,1%,1/10W,Panasonic,ERJ-2RKF4751X,RES 4.75k 1% 1/10W 0402,STD,,Ethernet PHY
R42,1,49.9,R_0402_1005Metric,Thick-film,,1%,1/10W,Panasonic,ERJ-2RKF49R9X,RES 49.9 1% 1/10W 0402,STD,,Ethernet PHY
R43,1,49.9,R_0402_1005Metric,Thick-film,,1%,1/10W,Panasonic,ERJ-2RKF49R9X,RES 49.9 1% 1/10W 0402,STD,,Ethernet PHY
R44,1,49.9,R_0402_1005Metric,Thick-film,,1%,1/10W,Panasonic,ERJ-2RKF49R9X,RES 49.9 1% 1/10W 0402,STD,,Ethernet PHY
R45,1,49.9,R_0402_1005Metric,Thick-film,,1%,1/10W,Panasonic,ERJ-2RKF49R9X,RES 49.9 1% 1/10W 0402,STD,,Ethernet PHY
R46,1,1.5k,R_0402_1005Metric,Thick-film,,1%,1/10W,Panasonic,ERJ-2RKF1501X,RES 1.5k 1% 1/10W 0402,STD,,STM32
R47,1,33.2k,R_0402_1005Metric,Thick-film,,1%,1/10W,Panasonic,ERJ-2RKF3322X,RES 33.2k 1% 1/10W 0402,STD,,STM32
R48,1,50,R_0402_1005Metric,Thick-film,,1%,1/10W,Panasonic,ERJ-2RKF50R0X,RES 50 1% 1/10W 0402,STD,,STM32
R49,1,5k,R_0402_1005Metric,Thick-film,,1%,1/10W,Panasonic,ERJ-2RKF5001X,RES 5k 1% 1/10W 0402,STD,,Ethernet PHY
R50,1,10k,R_0402_1005Metric,Thick-film,,1%,1/10W,Panasonic,ERJ-2RKF1002X,RES 10k 1% 1/10W 0402,STD,,STM32
R51,1,10k,R_0402_1005Metric,Thick-film,,1%,1/10W,Panasonic,ERJ-2RKF1002X,RES 10k 1% 1/10W 0402,STD,,STM32
R52,1,10k,R_0402_1005Metric,Thick-film,,1%,1/10W,Panasonic,ERJ-2RKF1002X,RES 10k 1% 1/10W 0402,STD,,STM32
R53,1,10k,R_0402_1005Metric,Thick-film,,1%,1/10W,Panasonic,ERJ-2RKF1002X,RES 10k 1% 1/10W 0402,STD,,STM32
R54,1,10k,R_0402_1005Metric,Thick-film,,1%,1/10W,Panasonic,ERJ-2RKF1002X,RES 10k 1% 1/10W 0402,STD,,STM32
R55,1,1k,R_0402_1005Metric,Thick-film,,1%,1/10W,Panasonic,ERJ-2RKF1001X,RES 1k 1% 1/10W 0402,STD,,LED
R56,1,10k,R_0402_1005Metric,Thick-film,,1%,1/10W,Panasonic,ERJ-2RKF1002X,RES 10k 1% 1/10W 0402,STD,,LED
R57,1,1.5k,R_0402_1005Metric,Thick-film,,1%,1/10W,Panasonic,ERJ-2RKF1501X,RES 1.5k 1% 1/10W 0402,STD,,LED
R58,1,10k,R_0402_1005Metric,Thick-film,,1%,1/10W,Panasonic,ERJ-2RKF1002X,RES 10k 1% 1/10W 0402,STD,,LED
R59,1,60.4,R_0402_1005Metric,Thick-film,,1%,1/10W,Panasonic,ERJ-2RKF60R4X,RES 60.4 1% 1/10W 0402,STD,,LED
R60,1,174,R_0402_1005Metric,Thick-film,,1%,1/10W,Panasonic,ERJ-2RKF1740X,RES 174 1% 1/10W 0402,STD,,LED
R61,1,221,R_0402_1005Metric,Thick-film,,1%,1/10W,Panasonic,ERJ-2RKF2210X,RES 221 1% 1/10W 0402,STD,,LED
R62,1,3.01k,R_0402_1005Metric,Thick-film,,1%,1/10W,Panasonic,ERJ-2RKF3011X,RES 3.01k 1% 1/10W 0402,STD,,LED
R63,1,10k,R_0402_1005Metric,Thick-film,,1%,1/10W,Panasonic,ERJ-2RKF1002X,RES 10k 1% 1/10W 0402,STD,,LED
R64,1,5.1k,R_0402_1005Metric,Thick-film,,1%,1/10W,Panasonic,ERJ-2RKF5101X,RES 5.1k 1% 1/10W 0402,STD,,Connectors
R65,1,1M,R_0402_1005Metric,Thick-film,,1%,1/10W,Panasonic,ERJ-2RKF1004X,RES 1M 1% 1/10W 0402,STD,,Connectors
R66,1,5.1k,R_0402_1005Metric,Thick-film,,1%,1/10W,Panasonic,ERJ-2RKF5101X,RES 5.1k 1% 1/10W 0402,STD,,Connectors
R67,1,121k,R_0402_1005Metric,Thick-film,,1%,1/10W,Panasonic,ERJ-2RKF1213X,RES 121k 1% 1/10W 0402,STD,,Connectors
R68,1,100k,R_0402_1005Metric,Thick-film,,1%,1/10W,Panasonic,ERJ-2RKF1003X,RES 100k 1% 1/10W 0402,STD,,Connectors
R69,1,100k,R_0402_1005Metric,Thick-film,,1%,1/10W,Panasonic,ERJ-2RKF1003X,RES 100k 1% 1/10W 0402,STD,,GPS
R70,1,374,R_0402_1005Metric,Thick-film,,1%,1/10W,Panasonic,ERJ-2RKF3740X,RES 374 1% 1/10W 0402,STD,,GPS
R71,1,33.2k,R_0402_1005Metric,Thick-film,,1%,1/10W,Panasonic,ERJ-2RKF3322X,RES 33.2k 1% 1/10W 0402,STD,,GPS
R72,1,500m,R_0805_2012Metric,Metal-strip shunt,,0.5%,1/4W,,,RES 500m SENSE 0.5% 0805,SHUNT-REVIEW,"U23 INA228 GPS-VCC shunt (U22-OUT/3V3_GPS); confirm value vs final full-scale current, pick 0.5% or 4-terminal",GPS
R73,1,2.2k,R_0402_1005Metric,Thick-film,,1%,1/10W,Panasonic,ERJ-2RKF2201X,RES 2.2k 1% 1/10W 0402,STD,,GPS Antenna
R74,1,10k,R_0402_1005Metric,Thick-film,,1%,1/10W,Panasonic,ERJ-2RKF1002X,RES 10k 1% 1/10W 0402,STD,,GPS Antenna
R75,1,4.7k,R_0402_1005Metric,Thick-film,,1%,1/10W,Panasonic,ERJ-2RKF4701X,RES 4.7k 1% 1/10W 0402,STD,,GPS Antenna
R76,1,220,R_0402_1005Metric,Thick-film,,1%,1/10W,Panasonic,ERJ-2RKF2200X,RES 220 1% 1/10W 0402,STD,,GPS Antenna
R77,1,3.3,R_1206_3216Metric,Thick-film,,1%,1/4W,Panasonic,ERJ-8ENF3R30V,RES 3.3 1% 1/4W 1206,SELECT,antenna-bias bounding R; 0.25W needs 1206-verify PN/pkg,GPS Antenna
R78,1,100k,R_0402_1005Metric,Thick-film,,1%,1/10W,Panasonic,ERJ-2RKF1003X,RES 100k 1% 1/10W 0402,STD,,GPS Antenna
R79,1,10k,R_0402_1005Metric,Thick-film,,1%,1/10W,Panasonic,ERJ-2RKF1002X,RES 10k 1% 1/10W 0402,STD,,GPS Antenna
R80,1,100k,R_0402_1005Metric,Thick-film,,1%,1/10W,Panasonic,ERJ-2RKF1003X,RES 100k 1% 1/10W 0402,STD,,GPS Antenna
R81,1,100k,R_0402_1005Metric,Thick-film,,1%,1/10W,Panasonic,ERJ-2RKF1003X,RES 100k 1% 1/10W 0402,STD,,GPS Antenna
R82,1,100k,R_0402_1005Metric,Thick-film,,1%,1/10W,Panasonic,ERJ-2RKF1003X,RES 100k 1% 1/10W 0402,STD,,GPS Antenna
R83,1,30k,R_0402_1005Metric,Thick-film,,1%,1/10W,Panasonic,ERJ-2RKF3002X,RES 30k 1% 1/10W 0402,STD,,GPS Antenna
R84,1,10k,R_0402_1005Metric,Thick-film,,1%,1/10W,Panasonic,ERJ-2RKF1002X,RES 10k 1% 1/10W 0402,STD,,GPS Antenna
R85,1,100k,R_0402_1005Metric,Thick-film,,1%,1/10W,Panasonic,ERJ-2RKF1003X,RES 100k 1% 1/10W 0402,STD,,GPS Antenna
R86,1,11k,R_0402_1005Metric,Thick-film,,1%,1/10W,Panasonic,ERJ-2RKF1102X,RES 11k 1% 1/10W 0402,STD,,GPS Antenna
R87,1,10k,R_0402_1005Metric,Thick-film,,1%,1/10W,Panasonic,ERJ-2RKF1002X,RES 10k 1% 1/10W 0402,STD,,GPS Antenna
R88,1,10k,R_0402_1005Metric,Thick-film,,1%,1/10W,Panasonic,ERJ-2RKF1002X,RES 10k 1% 1/10W 0402,STD,,GPS Antenna
R89,1,100m,R_0805_2012Metric,Metal-strip shunt,,0.5%,1/4W,,,RES 100m SENSE 0.5% 0805,SHUNT-REVIEW,"U26 INA228 antenna-bias shunt; confirm value vs final full-scale current, pick 0.5% or 4-terminal",GPS Antenna
R90,1,200k,R_0402_1005Metric,Thick-film,,1%,1/10W,Panasonic,ERJ-2RKF2003X,RES 200k 1% 1/10W 0402,STD,,5V/3.3V Main Power Supply
R91,1,100k,R_0402_1005Metric,Thick-film,,1%,1/10W,Panasonic,ERJ-2RKF1003X,RES 100k 1% 1/10W 0402,STD,,5V/3.3V Main Power Supply
R92,1,10k,R_0402_1005Metric,Thick-film,,1%,1/10W,Panasonic,ERJ-2RKF1002X,RES 10k 1% 1/10W 0402,STD,,5V/3.3V Main Power Supply
R93,1,2.21k,R_0402_1005Metric,Thick-film,,1%,1/10W,Panasonic,ERJ-2RKF2211X,RES 2.21k 1% 1/10W 0402,STD,,5V/3.3V Main Power Supply
R94,1,6.81k,R_0402_1005Metric,Thick-film,,1%,1/10W,Panasonic,ERJ-2RKF6811X,RES 6.81k 1% 1/10W 0402,STD,,5V/3.3V Main Power Supply
R95,1,10k,R_0402_1005Metric,Thick-film,,1%,1/10W,Panasonic,ERJ-2RKF1002X,RES 10k 1% 1/10W 0402,STD,,5V/3.3V Main Power Supply
R96,1,24.9k,R_0402_1005Metric,Thick-film,,1%,1/10W,Panasonic,ERJ-2RKF2492X,RES 24.9k 1% 1/10W 0402,STD,,5V/3.3V Main Power Supply
R97,1,15k,R_0402_1005Metric,Thick-film,,1%,1/10W,Panasonic,ERJ-2RKF1502X,RES 15k 1% 1/10W 0402,STD,,5V/3.3V Main Power Supply
R98,1,2.05k,R_0402_1005Metric,Thick-film,,1%,1/10W,Panasonic,ERJ-2RKF2051X,RES 2.05k 1% 1/10W 0402,STD,,5V/3.3V Main Power Supply
R99,1,10k,R_0402_1005Metric,Thick-film,,1%,1/10W,Panasonic,ERJ-2RKF1002X,RES 10k 1% 1/10W 0402,STD,,5V/3.3V Main Power Supply
R100,1,2.2k,R_0402_1005Metric,Thick-film,,1%,1/10W,Panasonic,ERJ-2RKF2201X,RES 2.2k 1% 1/10W 0402,STD,,5V/3.3V Main Power Supply
R101,1,2.2,R_0402_1005Metric,Thick-film,,1%,1/10W,Panasonic,ERJ-2RKF2R20X,RES 2.2 1% 1/10W 0402,STD,,5V/3.3V Main Power Supply
R102,1,75m,R_0805_2012Metric,Metal-strip shunt,,0.5%,1/4W,,,RES 75m SENSE 0.5% 0805,SHUNT-REVIEW,"U30 INA228 main-3V3 shunt; confirm value vs final full-scale current, pick 0.5% or 4-terminal",5V/3.3V Main Power Supply
R103,1,2.2,R_0402_1005Metric,Thick-film,,1%,1/10W,Panasonic,ERJ-2RKF2R20X,RES 2.2 1% 1/10W 0402,STD,,5V/3.3V Main Power Supply
R104,1,10k,R_0402_1005Metric,Thick-film,,1%,1/10W,Panasonic,ERJ-2RKF1002X,RES 10k 1% 1/10W 0402,STD,,5V/3.3V Main Power Supply
R105,1,10k,R_0402_1005Metric,Thick-film,,1%,1/10W,Panasonic,ERJ-2RKF1002X,RES 10k 1% 1/10W 0402,STD,,5V/3.3V Main Power Supply
R106,1,15m,R_0805_2012Metric,Metal-strip shunt,,0.5%,1/4W,,,RES 15m SENSE 0.5% 0805,SHUNT-REVIEW,"U31 INA228 STM-3V3 shunt (3V3/3V3_STM); confirm value vs final full-scale current, pick 0.5% or 4-terminal",5V/3.3V Main Power Supply
R107,1,100m,R_0805_2012Metric,Metal-strip shunt,,0.5%,1/4W,,,RES 100m SENSE 0.5% 0805,SHUNT-REVIEW,"U32 INA228 5V_DISP shunt; confirm value vs final full-scale current, pick 0.5% or 4-terminal",5V/3.3V Main Power Supply
R108,1,100k,R_0402_1005Metric,Thick-film,,1%,1/10W,Panasonic,ERJ-2RKF1003X,RES 100k 1% 1/10W 0402,STD,,Battery Backup Supplies
R109,1,100k,R_0402_1005Metric,Thick-film,,1%,1/10W,Panasonic,ERJ-2RKF1003X,RES 100k 1% 1/10W 0402,STD,,Battery Backup Supplies
R110,1,100k,R_0402_1005Metric,Thick-film,,1%,1/10W,Panasonic,ERJ-2RKF1003X,RES 100k 1% 1/10W 0402,STD,,Battery Backup Supplies
R111,1,100k,R_0402_1005Metric,Thick-film,,1%,1/10W,Panasonic,ERJ-2RKF1003X,RES 100k 1% 1/10W 0402,STD,,Battery Backup Supplies
R112,1,13.0k,R_0402_1005Metric,Thick-film,,1%,1/10W,Panasonic,ERJ-2RKF1302X,RES 13.0k 1% 1/10W 0402,STD,TPS61094 U34 VCHG -> 2.7V supercap term (125F/51.7C case),Battery Backup Supplies
R113,1,13.0k,R_0402_1005Metric,Thick-film,,1%,1/10W,Panasonic,ERJ-2RKF1302X,RES 13.0k 1% 1/10W 0402,STD,TPS61094 U35 VCHG -> 2.7V supercap term (125F/51.7C case),Battery Backup Supplies
R114,1,9.53k,R_0402_1005Metric,Thick-film,,1%,1/10W,Panasonic,ERJ-2RKF9531X,RES 9.53k 1% 1/10W 0402,STD,,Battery Backup Supplies
R115,1,9.53k,R_0402_1005Metric,Thick-film,,1%,1/10W,Panasonic,ERJ-2RKF9531X,RES 9.53k 1% 1/10W 0402,STD,,Battery Backup Supplies
R116,1,3.09k,R_0402_1005Metric,Thick-film,,1%,1/10W,Panasonic,ERJ-2RKF3091X,RES 3.09k 1% 1/10W 0402,STD,,Battery Backup Supplies
R117,1,3.09k,R_0402_1005Metric,Thick-film,,1%,1/10W,Panasonic,ERJ-2RKF3091X,RES 3.09k 1% 1/10W 0402,STD,,Battery Backup Supplies
R118,1,100k,R_0402_1005Metric,Thick-film,,1%,1/10W,Panasonic,ERJ-2RKF1003X,RES 100k 1% 1/10W 0402,STD,,OCXO
R119,1,100k,R_0402_1005Metric,Thick-film,,1%,1/10W,Panasonic,ERJ-2RKF1003X,RES 100k 1% 1/10W 0402,STD,,OCXO
R120,1,100k,R_0402_1005Metric,Thick-film,,1%,1/10W,Panasonic,ERJ-2RKF1003X,RES 100k 1% 1/10W 0402,STD,,OCXO
R121,1,10M,R_0402_1005Metric,Thick-film,,1%,1/10W,Panasonic,ERJ-2RKF1005X,RES 10M 1% 1/10W 0402,STD,,OCXO
R122,1,1k,R_0402_1005Metric,Thick-film,,1%,1/10W,Panasonic,ERJ-2RKF1001X,RES 1k 1% 1/10W 0402,STD,,OCXO
R123,1,22,R_0402_1005Metric,Thick-film,,1%,1/10W,Panasonic,ERJ-2RKF22R0X,RES 22 1% 1/10W 0402,STD,,OCXO
R124,1,10k,R_0402_1005Metric,Thick-film,,1%,1/10W,Panasonic,ERJ-2RKF1002X,RES 10k 1% 1/10W 0402,STD,,OCXO
R125,1,3.57k,R_0402_1005Metric,Thick-film,,1%,1/10W,Panasonic,ERJ-2RKF3571X,RES 3.57k 1% 1/10W 0402,STD,,OCXO
R126,1,25m,R_0805_2012Metric,Metal-strip shunt,,0.5%,1/4W,,,RES 25m SENSE 0.5% 0805,SHUNT-REVIEW,"U37 INA228 OCXO shunt; confirm value vs final full-scale current, pick 0.5% or 4-terminal",OCXO
R127,1,12.4k,R_0402_1005Metric,Thick-film,,1%,1/10W,Panasonic,ERJ-2RKF1242X,RES 12.4k 1% 1/10W 0402,STD,,OCXO
R128,1,2.4k,R_0402_1005Metric,Thick-film,,1%,1/10W,Panasonic,ERJ-2RKF2401X,RES 2.4k 1% 1/10W 0402,STD,,OCXO
R129,1,12.1k,R_0603_1608Metric,Thin-film,,0.1%,1/10W,TE Connectivity,RQ73C1J12K1BTD,RES 12.1k 0.1% 0.15W 0603,SPECIAL-KEEP,,OCXO
R130,1,3.83k,R_0603_1608Metric,Thin-film,,0.1%,1/10W,TE Connectivity,RQ73C1J3K83BTD,RES 3.83k 0.1% 0.15W 0603,SPECIAL-KEEP,,OCXO
R131,1,10k,R_0402_1005Metric,Thick-film,,1%,1/10W,Panasonic,ERJ-2RKF1002X,RES 10k 1% 1/10W 0402,STD,,OCXO
R132,1,200k,R_0402_1005Metric,Thick-film,,1%,1/10W,Panasonic,ERJ-2RKF2003X,RES 200k 1% 1/10W 0402,STD,,Rb Power
R133,1,100k,R_0402_1005Metric,Thick-film,,1%,1/10W,Panasonic,ERJ-2RKF1003X,RES 100k 1% 1/10W 0402,STD,,Rb Power
R134,1,3.01k,R_0402_1005Metric,Thick-film,,1%,1/10W,Panasonic,ERJ-2RKF3011X,RES 3.01k 1% 1/10W 0402,STD,,Rb Power
R135,1,10k,R_0402_1005Metric,Thick-film,,1%,1/10W,Panasonic,ERJ-2RKF1002X,RES 10k 1% 1/10W 0402,STD,,Rb Power
R136,1,4.99k,R_0402_1005Metric,Thick-film,,1%,1/10W,Panasonic,ERJ-2RKF4991X,RES 4.99k 1% 1/10W 0402,STD,,Rb Power
R137,1,10k,R_0402_1005Metric,Thick-film,,1%,1/10W,Panasonic,ERJ-2RKF1002X,RES 10k 1% 1/10W 0402,STD,,Rb Power
R138,1,120k,R_0402_1005Metric,Thick-film,,1%,1/10W,Panasonic,ERJ-2RKF1203X,RES 120k 1% 1/10W 0402,STD,,Rb Power
R139,1,10k,R_0402_1005Metric,Thick-film,,1%,1/10W,Panasonic,ERJ-2RKF1002X,RES 10k 1% 1/10W 0402,STD,,Rb Power
R140,1,2.21k,R_0402_1005Metric,Thick-film,,1%,1/10W,Panasonic,ERJ-2RKF2211X,RES 2.21k 1% 1/10W 0402,STD,,Rb Power
R141,1,1M,R_0402_1005Metric,Thick-film,,1%,1/10W,Panasonic,ERJ-2RKF1004X,RES 1M 1% 1/10W 0402,STD,,Rb Power
R142,1,47k,R_0402_1005Metric,Thick-film,,1%,1/10W,Panasonic,ERJ-2RKF4702X,RES 47k 1% 1/10W 0402,STD,,Rb Power
R143,1,10k,R_0402_1005Metric,Thick-film,,1%,1/10W,Panasonic,ERJ-2RKF1002X,RES 10k 1% 1/10W 0402,STD,,Rb Power
R144,1,10.7k,R_0402_1005Metric,Thick-film,,1%,1/10W,Panasonic,ERJ-2RKF1072X,RES 10.7k 1% 1/10W 0402,STD,,Rb Power
R145,1,10k,R_0402_1005Metric,Thick-film,,1%,1/10W,Panasonic,ERJ-2RKF1002X,RES 10k 1% 1/10W 0402,STD,,Rb Power
R146,1,100k,R_0402_1005Metric,Thick-film,,1%,1/10W,Panasonic,ERJ-2RKF1003X,RES 100k 1% 1/10W 0402,STD,,Rb Power
R147,1,20k,R_0402_1005Metric,Thick-film,,1%,1/10W,Panasonic,ERJ-2RKF2002X,RES 20k 1% 1/10W 0402,STD,,Rb Power
R148,1,604,R_0402_1005Metric,Thick-film,,1%,1/10W,Panasonic,ERJ-2RKF6040X,RES 604 1% 1/10W 0402,STD,,Rb Power
R149,1,10k,R_0402_1005Metric,Thick-film,,1%,1/10W,Panasonic,ERJ-2RKF1002X,RES 10k 1% 1/10W 0402,STD,,Rb Power
R150,1,10k,R_0402_1005Metric,Thick-film,,1%,1/10W,Panasonic,ERJ-2RKF1002X,RES 10k 1% 1/10W 0402,STD,,Rb Power
R151,1,4.7k,R_0402_1005Metric,Thick-film,,1%,1/10W,Panasonic,ERJ-2RKF4701X,RES 4.7k 1% 1/10W 0402,STD,,Rb Power
R152,1,100k,R_0402_1005Metric,Thick-film,,1%,1/10W,Panasonic,ERJ-2RKF1003X,RES 100k 1% 1/10W 0402,STD,,Rb Power
R153,1,18k,R_0402_1005Metric,Thick-film,,1%,1/10W,Panasonic,ERJ-2RKF1802X,RES 18k 1% 1/10W 0402,STD,,Rb Power
R154,1,33k,R_0402_1005Metric,Thick-film,,1%,1/10W,Panasonic,ERJ-2RKF3302X,RES 33k 1% 1/10W 0402,STD,,Rb Power
R155,1,10k,R_0402_1005Metric,Thick-film,,1%,1/10W,Panasonic,ERJ-2RKF1002X,RES 10k 1% 1/10W 0402,STD,,Rb Power
R156,1,4.7k,R_0402_1005Metric,Thick-film,,1%,1/10W,Panasonic,ERJ-2RKF4701X,RES 4.7k 1% 1/10W 0402,STD,,Rb Power
R157,1,10k,R_0402_1005Metric,Thick-film,,1%,1/10W,Panasonic,ERJ-2RKF1002X,RES 10k 1% 1/10W 0402,STD,,Rb Power
R158,1,10k,R_0402_1005Metric,Thick-film,,1%,1/10W,Panasonic,ERJ-2RKF1002X,RES 10k 1% 1/10W 0402,STD,,Rb Power
R159,1,20m,R_0805_2012Metric,Metal-strip shunt,,0.5%,1/4W,,,RES 20m SENSE 0.5% 0805,SHUNT-REVIEW,"U44 INA228 Rb/VCC_RB shunt; confirm value vs final full-scale current, pick 0.5% or 4-terminal",Rb Power
R160,1,10k,R_0402_1005Metric,Thick-film,,1%,1/10W,Panasonic,ERJ-2RKF1002X,RES 10k 1% 1/10W 0402,STD,,Rb Power
R161,1,10k,R_0402_1005Metric,Thick-film,,1%,1/10W,Panasonic,ERJ-2RKF1002X,RES 10k 1% 1/10W 0402,STD,,Rb Power
R162,1,2.2,R_0402_1005Metric,Thick-film,,1%,1/10W,Panasonic,ERJ-2RKF2R20X,RES 2.2 1% 1/10W 0402,STD,,Rb Power
R163,1,2.2,R_0402_1005Metric,Thick-film,,1%,1/10W,Panasonic,ERJ-2RKF2R20X,RES 2.2 1% 1/10W 0402,STD,,Rb Power
R164,1,100k,R_0402_1005Metric,Thick-film,,1%,1/10W,Panasonic,ERJ-2RKF1003X,RES 100k 1% 1/10W 0402,STD,,Rb IO
R165,1,51,R_0402_1005Metric,Thick-film,,1%,1/10W,Panasonic,ERJ-2RKF51R0X,RES 51 1% 1/10W 0402,STD,,Rb IO
R166,1,51,R_0402_1005Metric,Thick-film,,1%,1/10W,Panasonic,ERJ-2RKF51R0X,RES 51 1% 1/10W 0402,STD,,Rb IO
R167,1,220,R_0402_1005Metric,Thick-film,,1%,1/10W,Panasonic,ERJ-2RKF2200X,RES 220 1% 1/10W 0402,STD,,Rb IO
R168,1,10k,R_0402_1005Metric,Thick-film,,1%,1/10W,Panasonic,ERJ-2RKF1002X,RES 10k 1% 1/10W 0402,STD,,Rb IO
R169,1,10k,R_0402_1005Metric,Thick-film,,1%,1/10W,Panasonic,ERJ-2RKF1002X,RES 10k 1% 1/10W 0402,STD,,Rb IO
R170,1,470,R_0402_1005Metric,Thick-film,,1%,1/10W,Panasonic,ERJ-2RKF4700X,RES 470 1% 1/10W 0402,STD,,Rb IO
R171,1,4.7k,R_0402_1005Metric,Thick-film,,1%,1/10W,Panasonic,ERJ-2RKF4701X,RES 4.7k 1% 1/10W 0402,STD,,Rb IO
R172,1,470,R_0402_1005Metric,Thick-film,,1%,1/10W,Panasonic,ERJ-2RKF4700X,RES 470 1% 1/10W 0402,STD,,Rb IO
R173,1,22k,R_0402_1005Metric,Thick-film,,1%,1/10W,Panasonic,ERJ-2RKF2202X,RES 22k 1% 1/10W 0402,STD,,Rb IO
R174,1,47k,R_0402_1005Metric,Thick-film,,1%,1/10W,Panasonic,ERJ-2RKF4702X,RES 47k 1% 1/10W 0402,STD,,Refrence Clock Input
R175,1,47k,R_0402_1005Metric,Thick-film,,1%,1/10W,Panasonic,ERJ-2RKF4702X,RES 47k 1% 1/10W 0402,STD,,Refrence Clock Input
R176,1,100k,R_0402_1005Metric,Thick-film,,1%,1/10W,Panasonic,ERJ-2RKF1003X,RES 100k 1% 1/10W 0402,STD,,Refrence Clock Input
R177,1,49.9,R_0402_1005Metric,Thick-film,,1%,1/10W,Panasonic,ERJ-2RKF49R9X,RES 49.9 1% 1/10W 0402,STD,,Refrence Clock Input
R178,1,100,R_0402_1005Metric,Thick-film,,1%,1/10W,Panasonic,ERJ-2RKF1000X,RES 100 1% 1/10W 0402,STD,,Refrence Clock Input
R179,1,10k,R_0402_1005Metric,Thick-film,,1%,1/10W,Panasonic,ERJ-2RKF1002X,RES 10k 1% 1/10W 0402,STD,,Refrence Clock Input
R180,1,10k,R_0402_1005Metric,Thick-film,,1%,1/10W,Panasonic,ERJ-2RKF1002X,RES 10k 1% 1/10W 0402,STD,,Refrence Clock Input
R181,1,1k,R_0402_1005Metric,Thick-film,,1%,1/10W,Panasonic,ERJ-2RKF1001X,RES 1k 1% 1/10W 0402,STD,,Refrence Clock Input
R182,1,100k,R_0402_1005Metric,Thick-film,,1%,1/10W,Panasonic,ERJ-2RKF1003X,RES 100k 1% 1/10W 0402,STD,,Refrence Clock Input
